[03/16/2021 20:32:40] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               fc_downsampling: 4                             
                  fc_kernel_in: 25                            
                fc_kernel_size: 3                             
                fc_module_type: regression                    
                  fc_n_filters: 32                            
                   fc_n_layers: 20                            
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 48                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fc: 0.0003                        
                         lr_fr: 0.0003                        
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fc: 100                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/deepfreq_norm_snr40_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 1000                          
                      use_cuda: True                          
[03/16/2021 20:36:22] {train.py:450} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:36:22] {train.py:452} INFO - [Network] Number of parameters in the frequency-counting module : 0.065 M
[03/16/2021 20:37:52] {train.py:252} INFO - Epochs: 1 / 510, Time: 89.7, FR training L2 loss 87.57, FR validation L2 loss 54.36, FNR 95.29 %
[03/16/2021 20:39:17] {train.py:252} INFO - Epochs: 2 / 510, Time: 85.2, FR training L2 loss 52.10, FR validation L2 loss 53.68, FNR 94.93 %
[03/16/2021 20:40:42] {train.py:252} INFO - Epochs: 3 / 510, Time: 84.9, FR training L2 loss 51.81, FR validation L2 loss 53.21, FNR 95.17 %
[03/16/2021 20:42:06] {train.py:252} INFO - Epochs: 4 / 510, Time: 84.7, FR training L2 loss 51.67, FR validation L2 loss 53.14, FNR 94.68 %
[03/16/2021 20:43:31] {train.py:252} INFO - Epochs: 5 / 510, Time: 85.2, FR training L2 loss 51.62, FR validation L2 loss 53.28, FNR 94.98 %
[03/16/2021 20:44:57] {train.py:252} INFO - Epochs: 6 / 510, Time: 85.6, FR training L2 loss 51.57, FR validation L2 loss 53.12, FNR 95.17 %
[03/16/2021 20:46:23] {train.py:252} INFO - Epochs: 7 / 510, Time: 85.9, FR training L2 loss 51.55, FR validation L2 loss 53.09, FNR 95.93 %
[03/16/2021 20:47:49] {train.py:252} INFO - Epochs: 8 / 510, Time: 85.9, FR training L2 loss 51.52, FR validation L2 loss 53.10, FNR 95.63 %
[03/16/2021 20:49:15] {train.py:252} INFO - Epochs: 9 / 510, Time: 86.0, FR training L2 loss 51.50, FR validation L2 loss 53.08, FNR 95.60 %
[03/16/2021 20:50:41] {train.py:252} INFO - Epochs: 10 / 510, Time: 85.8, FR training L2 loss 51.49, FR validation L2 loss 53.05, FNR 95.33 %
[03/16/2021 20:52:07] {train.py:252} INFO - Epochs: 11 / 510, Time: 86.2, FR training L2 loss 51.48, FR validation L2 loss 53.05, FNR 96.52 %
[03/16/2021 20:53:32] {train.py:252} INFO - Epochs: 12 / 510, Time: 85.4, FR training L2 loss 51.47, FR validation L2 loss 53.10, FNR 96.52 %
[03/16/2021 20:54:58] {train.py:252} INFO - Epochs: 13 / 510, Time: 86.2, FR training L2 loss 51.47, FR validation L2 loss 53.02, FNR 95.26 %
[03/16/2021 20:56:24] {train.py:252} INFO - Epochs: 14 / 510, Time: 85.6, FR training L2 loss 51.46, FR validation L2 loss 53.02, FNR 95.84 %
[03/16/2021 20:57:50] {train.py:252} INFO - Epochs: 15 / 510, Time: 85.9, FR training L2 loss 51.45, FR validation L2 loss 53.03, FNR 96.28 %
[03/16/2021 20:59:16] {train.py:252} INFO - Epochs: 16 / 510, Time: 86.0, FR training L2 loss 51.44, FR validation L2 loss 53.01, FNR 95.53 %
[03/16/2021 21:00:42] {train.py:252} INFO - Epochs: 17 / 510, Time: 85.9, FR training L2 loss 51.42, FR validation L2 loss 52.97, FNR 95.25 %
[03/16/2021 21:02:08] {train.py:252} INFO - Epochs: 18 / 510, Time: 85.6, FR training L2 loss 51.35, FR validation L2 loss 52.77, FNR 93.89 %
[03/16/2021 21:03:34] {train.py:252} INFO - Epochs: 19 / 510, Time: 86.4, FR training L2 loss 49.71, FR validation L2 loss 49.34, FNR 87.19 %
[03/16/2021 21:05:01] {train.py:252} INFO - Epochs: 20 / 510, Time: 86.8, FR training L2 loss 47.50, FR validation L2 loss 48.65, FNR 85.29 %
[03/16/2021 21:06:27] {train.py:252} INFO - Epochs: 21 / 510, Time: 86.2, FR training L2 loss 46.91, FR validation L2 loss 48.24, FNR 84.59 %
[03/16/2021 21:07:54] {train.py:252} INFO - Epochs: 22 / 510, Time: 86.4, FR training L2 loss 46.11, FR validation L2 loss 46.72, FNR 77.81 %
[03/16/2021 21:09:20] {train.py:252} INFO - Epochs: 23 / 510, Time: 87.0, FR training L2 loss 42.24, FR validation L2 loss 39.48, FNR 57.75 %
