[03/16/2021 20:33:41] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               fc_downsampling: 4                             
                  fc_kernel_in: 25                            
                fc_kernel_size: 3                             
                fc_module_type: regression                    
                  fc_n_filters: 32                            
                   fc_n_layers: 48                            
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 9                             
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 48                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fc: 0.0003                        
                         lr_fr: 0.0003                        
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fc: 100                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/freq_train_big8  
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:37:27] {freqDomainTrain.py:456} INFO - [Network] Number of parameters in the frequency-representation module : 2.248 M
[03/16/2021 20:37:27] {freqDomainTrain.py:458} INFO - [Network] Number of parameters in the frequency-counting module : 0.152 M
[03/16/2021 20:38:40] {freqDomainTrain.py:258} INFO - Epochs: 1 / 510, Time: 73.1, FR training L2 loss 665.66, FR validation L2 loss 61.00, FNR 75.42 %
[03/16/2021 20:39:49] {freqDomainTrain.py:258} INFO - Epochs: 2 / 510, Time: 69.2, FR training L2 loss 71.75, FR validation L2 loss 41.72, FNR 61.04 %
[03/16/2021 20:40:58] {freqDomainTrain.py:258} INFO - Epochs: 3 / 510, Time: 69.0, FR training L2 loss 51.85, FR validation L2 loss 41.74, FNR 57.99 %
[03/16/2021 20:42:07] {freqDomainTrain.py:258} INFO - Epochs: 4 / 510, Time: 68.8, FR training L2 loss 44.50, FR validation L2 loss 37.14, FNR 54.98 %
[03/16/2021 20:43:16] {freqDomainTrain.py:258} INFO - Epochs: 5 / 510, Time: 68.8, FR training L2 loss 40.62, FR validation L2 loss 36.84, FNR 52.12 %
[03/16/2021 20:44:27] {freqDomainTrain.py:258} INFO - Epochs: 6 / 510, Time: 71.1, FR training L2 loss 38.35, FR validation L2 loss 35.03, FNR 50.49 %
[03/16/2021 20:45:39] {freqDomainTrain.py:258} INFO - Epochs: 7 / 510, Time: 72.4, FR training L2 loss 36.87, FR validation L2 loss 35.96, FNR 51.10 %
[03/16/2021 20:46:50] {freqDomainTrain.py:258} INFO - Epochs: 8 / 510, Time: 71.4, FR training L2 loss 35.77, FR validation L2 loss 34.64, FNR 47.36 %
[03/16/2021 20:48:01] {freqDomainTrain.py:258} INFO - Epochs: 9 / 510, Time: 71.0, FR training L2 loss 34.95, FR validation L2 loss 34.23, FNR 47.12 %
[03/16/2021 20:49:14] {freqDomainTrain.py:258} INFO - Epochs: 10 / 510, Time: 72.3, FR training L2 loss 34.34, FR validation L2 loss 34.06, FNR 46.26 %
[03/16/2021 20:50:26] {freqDomainTrain.py:258} INFO - Epochs: 11 / 510, Time: 72.0, FR training L2 loss 33.84, FR validation L2 loss 33.23, FNR 44.62 %
[03/16/2021 20:51:39] {freqDomainTrain.py:258} INFO - Epochs: 12 / 510, Time: 72.8, FR training L2 loss 33.32, FR validation L2 loss 33.30, FNR 46.32 %
[03/16/2021 20:52:51] {freqDomainTrain.py:258} INFO - Epochs: 13 / 510, Time: 72.1, FR training L2 loss 32.91, FR validation L2 loss 32.58, FNR 43.12 %
[03/16/2021 20:54:04] {freqDomainTrain.py:258} INFO - Epochs: 14 / 510, Time: 73.3, FR training L2 loss 32.49, FR validation L2 loss 32.74, FNR 41.89 %
[03/16/2021 20:55:18] {freqDomainTrain.py:258} INFO - Epochs: 15 / 510, Time: 73.3, FR training L2 loss 32.19, FR validation L2 loss 33.13, FNR 44.03 %
[03/16/2021 20:56:30] {freqDomainTrain.py:258} INFO - Epochs: 16 / 510, Time: 72.9, FR training L2 loss 31.85, FR validation L2 loss 32.06, FNR 42.29 %
[03/16/2021 20:57:43] {freqDomainTrain.py:258} INFO - Epochs: 17 / 510, Time: 72.8, FR training L2 loss 31.68, FR validation L2 loss 32.35, FNR 41.09 %
[03/16/2021 20:58:55] {freqDomainTrain.py:258} INFO - Epochs: 18 / 510, Time: 72.1, FR training L2 loss 31.39, FR validation L2 loss 31.93, FNR 40.77 %
[03/16/2021 21:00:09] {freqDomainTrain.py:258} INFO - Epochs: 19 / 510, Time: 73.3, FR training L2 loss 31.22, FR validation L2 loss 31.73, FNR 40.55 %
[03/16/2021 21:01:22] {freqDomainTrain.py:258} INFO - Epochs: 20 / 510, Time: 73.2, FR training L2 loss 31.10, FR validation L2 loss 31.76, FNR 40.76 %
[03/16/2021 21:02:35] {freqDomainTrain.py:258} INFO - Epochs: 21 / 510, Time: 72.8, FR training L2 loss 30.77, FR validation L2 loss 31.33, FNR 39.24 %
[03/16/2021 21:03:47] {freqDomainTrain.py:258} INFO - Epochs: 22 / 510, Time: 71.8, FR training L2 loss 30.66, FR validation L2 loss 31.56, FNR 39.30 %
[03/16/2021 21:04:58] {freqDomainTrain.py:258} INFO - Epochs: 23 / 510, Time: 71.9, FR training L2 loss 30.59, FR validation L2 loss 31.83, FNR 40.41 %
