[03/16/2021 20:00:19] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:00:29] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.859 M
[03/16/2021 20:00:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.6, FR training L2 loss 58103.63, FR validation L2 loss 1869.20, FNR 94.40 %
[03/16/2021 20:00:36] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 2.4, FR training L2 loss 3625.60, FR validation L2 loss 1946.61, FNR 94.63 %
[03/16/2021 20:00:38] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 2.4, FR training L2 loss 3872.12, FR validation L2 loss 1373.24, FNR 94.83 %
[03/16/2021 20:00:40] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 2.4, FR training L2 loss 1866.11, FR validation L2 loss 1363.58, FNR 94.72 %
[03/16/2021 20:00:43] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 2.4, FR training L2 loss 3889.60, FR validation L2 loss 29048.09, FNR 97.00 %
[03/16/2021 20:00:45] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 2.4, FR training L2 loss 841.65, FR validation L2 loss 376.54, FNR 95.02 %
[03/16/2021 20:00:48] {complexTrain.py:233} INFO - Epochs: 7 / 410, Time: 2.4, FR training L2 loss 429.00, FR validation L2 loss 280.01, FNR 94.81 %
[03/16/2021 20:00:50] {complexTrain.py:233} INFO - Epochs: 8 / 410, Time: 2.4, FR training L2 loss 232.20, FR validation L2 loss 133.14, FNR 95.20 %
[03/16/2021 20:00:52] {complexTrain.py:233} INFO - Epochs: 9 / 410, Time: 2.4, FR training L2 loss 101.51, FR validation L2 loss 67.46, FNR 95.11 %
[03/16/2021 20:00:55] {complexTrain.py:233} INFO - Epochs: 10 / 410, Time: 2.4, FR training L2 loss 461.02, FR validation L2 loss 322.52, FNR 95.78 %
[03/16/2021 20:00:57] {complexTrain.py:233} INFO - Epochs: 11 / 410, Time: 2.4, FR training L2 loss 76.59, FR validation L2 loss 64.53, FNR 95.86 %
